30	10	8	1
1	8	6
2	8	5
3	8	4
4	8	3
5	8	1
6	8	2
5	1	2
4	3	2
3	4	2
2	5	2
1	6	2
7	8	10
8	8	9
9	8	7
10	8	6
11	8	5
12	8	4
13	8	3
14	8	1
13	3	1
12	4	1
11	5	1
10	6	1
9	7	1
8	9	1
7	10	1
1	2	7
2	2	6
3	2	5
4	2	4
5	2	3
6	2	1
5	3	1
4	4	1
3	5	1
2	6	1
1	7	1
15	8	10
16	8	9
17	8	7
18	8	6
19	8	5
20	8	4
21	8	3
22	8	2
21	3	2
20	4	2
19	5	2
18	6	2
17	7	2
16	9	2
15	10	2
1	1	7
2	1	6
3	1	5
4	1	4
5	1	2
6	1	3
5	2	3
4	4	3
3	5	3
2	6	3
1	7	3
7	1	10
8	1	9
9	1	8
10	1	7
11	1	6
12	1	5
13	1	4
14	1	2
13	4	2
12	5	2
11	6	2
10	7	2
9	8	2
8	9	2
7	10	2
1	3	7
2	3	6
3	3	5
4	3	4
5	3	1
6	3	2
5	1	2
4	4	2
3	5	2
2	6	2
1	7	2
23	8	10
24	8	9
25	8	7
26	8	6
27	8	5
28	8	4
29	8	3
30	8	1
29	3	1
28	4	1
27	5	1
26	6	1
25	7	1
24	9	1
23	10	1
1	2	7
2	2	6
3	2	5
4	2	4
5	2	3
6	2	1
5	3	1
4	4	1
3	5	1
2	6	1
1	7	1
7	2	10
8	2	9
9	2	8
10	2	7
11	2	6
12	2	5
13	2	4
14	2	3
13	4	3
12	5	3
11	6	3
10	7	3
9	8	3
8	9	3
7	10	3
1	1	7
2	1	6
3	1	5
4	1	4
5	1	2
6	1	3
5	2	3
4	4	3
3	5	3
2	6	3
1	7	3
15	2	10
16	2	9
17	2	8
18	2	7
19	2	6
20	2	5
21	2	4
22	2	1
21	4	1
20	5	1
19	6	1
18	7	1
17	8	1
16	9	1
15	10	1
1	3	7
2	3	6
3	3	5
4	3	4
5	3	1
6	3	2
5	1	2
4	4	2
3	5	2
2	6	2
1	7	2
7	3	10
8	3	9
9	3	8
10	3	7
11	3	6
12	3	5
13	3	4
14	3	1
13	4	1
12	5	1
11	6	1
10	7	1
9	8	1
8	9	1
7	10	1
1	2	7
2	2	6
3	2	5
4	2	4
5	2	3
6	2	1
5	3	1
4	4	1
3	5	1
2	6	1
1	7	1
