100	1000	1000	999
1	1000	99
2	1000	98
3	1000	97
4	1000	96
5	1000	95
6	1000	94
7	1000	93
8	1000	92
9	1000	91
10	1000	90
11	1000	89
12	1000	88
13	1000	87
14	1000	86
15	1000	85
16	1000	84
17	1000	83
18	1000	82
19	1000	81
20	1000	80
21	1000	79
22	1000	78
23	1000	77
24	1000	76
25	1000	75
26	1000	74
27	1000	73
28	1000	72
29	1000	71
30	1000	70
31	1000	69
32	1000	68
33	1000	67
34	1000	66
35	1000	65
36	1000	64
37	1000	63
38	1000	62
39	1000	61
40	1000	60
41	1000	59
42	1000	58
43	1000	57
44	1000	56
45	1000	55
46	1000	54
47	1000	53
48	1000	52
49	1000	51
50	1000	50
51	1000	49
52	1000	48
53	1000	47
54	1000	46
55	1000	45
56	1000	44
57	1000	43
58	1000	42
59	1000	41
60	1000	40
61	1000	39
62	1000	38
63	1000	37
64	1000	36
65	1000	35
66	1000	34
67	1000	33
68	1000	32
69	1000	31
70	1000	30
71	1000	29
72	1000	28
73	1000	27
74	1000	26
75	1000	25
76	1000	24
77	1000	23
78	1000	22
79	1000	21
80	1000	20
81	1000	19
82	1000	18
83	1000	17
84	1000	16
85	1000	15
86	1000	14
87	1000	13
88	1000	12
89	1000	11
90	1000	10
91	1000	9
92	1000	8
93	1000	7
94	1000	6
95	1000	5
96	1000	4
97	1000	3
98	1000	2
99	1000	1
100	1000	999
99	1	999
98	2	999
97	3	999
96	4	999
95	5	999
94	6	999
93	7	999
92	8	999
91	9	999
90	10	999
89	11	999
88	12	999
87	13	999
86	14	999
85	15	999
84	16	999
83	17	999
82	18	999
81	19	999
80	20	999
79	21	999
78	22	999
77	23	999
76	24	999
75	25	999
74	26	999
73	27	999
72	28	999
71	29	999
70	30	999
69	31	999
68	32	999
67	33	999
66	34	999
65	35	999
64	36	999
63	37	999
62	38	999
61	39	999
60	40	999
59	41	999
58	42	999
57	43	999
56	44	999
55	45	999
54	46	999
53	47	999
52	48	999
51	49	999
50	50	999
49	51	999
48	52	999
47	53	999
46	54	999
45	55	999
44	56	999
43	57	999
42	58	999
41	59	999
40	60	999
39	61	999
38	62	999
37	63	999
36	64	999
35	65	999
34	66	999
33	67	999
32	68	999
31	69	999
30	70	999
29	71	999
28	72	999
27	73	999
26	74	999
25	75	999
24	76	999
23	77	999
22	78	999
21	79	999
20	80	999
19	81	999
18	82	999
17	83	999
16	84	999
15	85	999
14	86	999
13	87	999
12	88	999
11	89	999
10	90	999
9	91	999
8	92	999
7	93	999
6	94	999
5	95	999
4	96	999
3	97	999
2	98	999
1	99	999
