30	26	9	22
1	9	7
2	9	6
3	9	5
4	9	4
5	9	3
6	9	2
7	9	1
6	2	1
5	3	1
4	4	1
3	5	1
2	6	1
1	7	1
8	9	25
9	9	24
10	9	23
11	9	21
12	9	20
13	9	19
14	9	18
15	9	17
16	9	16
17	9	15
18	9	14
19	9	13
20	9	12
21	9	11
22	9	10
23	9	8
24	9	7
25	9	6
26	9	5
27	9	4
28	9	3
29	9	2
30	9	22
29	2	22
28	3	22
27	4	22
26	5	22
25	6	22
24	7	22
23	8	22
22	10	22
21	11	22
20	12	22
19	13	22
18	14	22
17	15	22
16	16	22
15	17	22
14	18	22
13	19	22
12	20	22
11	21	22
10	23	22
9	24	22
8	25	22
1	1	7
2	1	6
3	1	5
4	1	4
5	1	3
6	1	2
7	1	22
6	2	22
5	3	22
4	4	22
3	5	22
2	6	22
1	7	22
